Feature ID,Feature,Portal,Result,Observed during live test,Evidence / blocker
F01,Portal login works for assigned user,Client,WORKING,"Client credentials signed in successfully and loaded client workspace navigation.","Dashboard/Body Tracker/Check-ins/Progress Photos/Nutrition/Workout/Health Summary/Profile nav visible after sign-in."
F02,Role-based access enforcement,Auth,WORKING,"Client credentials were tested against Coach portal selection and denied.","UI message shown: 'This account cannot access the selected portal. Choose the portal assigned to your account.'"
F03,Password reset request flow,Auth + SMTP trigger,WORKING,"Forgot-password request accepted for client email and cooldown started.","Status shown: reset link requested message + 'Resend in 59s'."
F04,Client dashboard/workspace availability,Client,WORKING,"Client dashboard loaded with role-specific cards and actions.","Client-only dashboard rendered with no coach/admin controls."
F05,Body tracker (date + weight persistence flow),Client,WORKING,"Body Tracker accepted date + weight submission and completed save.","After save, status changed to 'Body progress saved to your XForm record.' and weight field reset."
F06,Weekly check-ins (photos + measurements + ratings),Client,WORKING,"Check-ins page loaded full photo/measurement/rating workflow with submit control.","Pose selectors, weekly selectors, measurement fields, 1-5 and 1-10 ratings, text prompts, and submit button all present."
F07,Nutrition workspace availability,Client,WORKING,"Nutrition page opened with assigned meals and adherence actions.","Meal cards, macro totals, prep guides, and Followed/Partly/Missed actions rendered."
F08,Workout workspace availability,Client,WORKING,"Workout page opened successfully.","Page rendered expected pending-plan state plus performance-history section."
F09,Health summary visibility,Client,WORKING,"Health Summary opened with protected coach-approved summary sections.","Wellbeing signal/progress sentiment/health data/safety boundary sections rendered."
F10,Client profile scope (phase-1 controls only),Client,WORKING,"Profile page showed goal/timezone/preferences controls only.","No target-weight or weekday controls present in the phase-1 client profile."
F11,Coach portal login with provided credentials,Coach,WORKING,"Provided coach email/password authenticated successfully.","Coach workspace loaded with Overview/Clients/Body Tracker/Nutrition/Workout/Libraries/Settings/Health/Audit Log."
F12,Admin portal login with provided credentials,Admin,WORKING,"Provided admin email/password authenticated successfully.","Admin portal loaded with team/roster controls."
F13,Coach-led client enrollment + invite request,Coach,WORKING,"Coach enrolled a new client and invite request completed.","Success banner shown: secure account-setup invitation sent; new client row appeared in roster."
F14,Foundation intake pending visibility in coach roster,Coach,WORKING,"Newly enrolled client showed pending intake state in roster and coach overview queue.","'Intake pending' chip visible on client card; overview queue showed foundation intake pending signal."
F15,Coach review and feedback loop (coach side),Coach,WORKING,"Coach review page loaded and accepted guidance + private-note saves.","Saved guidance persisted; private note appeared in the PRIVATE COACH NOTES section."
F16,Coach libraries operations (food/exercise),Coach,WORKING,"Coach Libraries add-item flow completed for food entry.","New food item save succeeded and success message control appeared (dismiss message button)."
F17,Coach settings persistence,Coach,WORKING,"Missing-weight threshold changed from 5 to 6, persisted after navigation, then restored to 5.","Save completed each time and persisted value was reloaded in settings."
F18,CSV controls hidden in coach UX (phase-1 scope protection),Coach,WORKING,"Clients and Settings pages did not expose CSV preview/import/export controls.","No CSV preview button in Clients; Settings nav only shows 'System setup' and 'Security' (no 'Data tools')."
F19,Admin team snapshot counts,Admin,WORKING,"Admin team snapshot loaded with roster and status filter controls.","Total coaches/active/offboarded/total clients summary cards and roster filter rendered."
F20,Admin enroll/reset/offboard workflows,Admin,PARTIAL,"Enroll, password reset, and offboard actions executed in admin UI.","Enroll and offboard completed. Password reset generated new credentials but displayed warning: audit entry could not be recorded."
F21,Admin privacy-limited assignment visibility,Admin,WORKING,"Admin coach-detail panel explicitly displayed privacy-limited assignment model.","UI text states only client codes/assignment dates are shared and personal health details remain private."
F22,Durable photo cleanup retry worker behavior,Backend service,NOT TESTABLE FROM PORTAL,"Feature is backend worker + queue behavior, not directly observable through portal UI alone.","Needs logs/DB/R2 or backend harness evidence."
F23,SMTP mailbox acceptance (invite email receipt + password set + fresh login),Auth + SMTP,PARTIAL,"Invite/reset request flows are functioning from portal UI.","Recipient inbox receipt, link completion, and fresh-login completion were not independently validated in this run."
F24,Phase-1 live test conclusion,All portals,PARTIAL,"Most phase-1 portal features are now working across Client/Coach/Admin.","Open items: F20 audit-log warning during reset workflow and F23 mailbox acceptance proof pending; F22 requires backend evidence."
